slug,title,wd_label,confidence,qid,burial,lat,lon,order,patronage_wd,image_url,commons,feast_raw,source_url,image_license
blessed-francis-xavier-seelos,Blessed Francis Xavier Seelos,Francis Xavier Seelos,label,Q75940,Saint Mary's Assumption Church,29.93075,-90.074774,Congregation of the Most Holy Redeemer,,http://commons.wikimedia.org/wiki/Special:FilePath/Blessed%20Francis%20Xavier%20Seelos.jpg,Francis Xavier Seelos,http://www.wikidata.org/entity/Q2929,https://www.wikidata.org/wiki/Q75940,public domain
blessed-virgin-mary,Blessed Virgin Mary,Mary,label,Q345,Tomb of the Virgin Mary,31.780131,35.239409,,,http://commons.wikimedia.org/wiki/Special:FilePath/Duccio%20The-Madonna-and-Child-128.jpg,Virgin Mary,http://www.wikidata.org/entity/Q2774,https://www.wikidata.org/wiki/Q345,public domain
st-achilleus,St. Achilleus,Achilleus,"AMBIGUOUS 5: Q579495,Q579522,Q3948626,Q124771444",Q579495,,,,,,,,,https://www.wikidata.org/wiki/Q579495,
st-adalbert,St. Adalbert,Adalbert,label,Q77394,Magdeburg,52.1315889,11.6399609,Benedictines,,http://commons.wikimedia.org/wiki/Special:FilePath/Adalbert%20of%20Magdeburg.jpg,Adalbert von Magdeburg,http://www.wikidata.org/entity/Q2666,https://www.wikidata.org/wiki/Q77394,public domain
st-agatha,St. Agatha,Agatha of Sicily,label,Q200895,Catania Cathedral,37.50246,15.08821,,,http://commons.wikimedia.org/wiki/Special:FilePath/Agatha%20orthodox%20icon.jpg,Agatha of Sicily,http://www.wikidata.org/entity/Q2343,https://www.wikidata.org/wiki/Q200895,public domain
st-agnes,St. Agnes,Agnes of Rome,label,Q210096,Sant'Agnese fuori le mura,41.922917,12.518878,,,http://commons.wikimedia.org/wiki/Special:FilePath/Santa%20Agnese%20-%20mosaico%20Santa%20Agnese%20fuori%20le%20mura.jpg,Saint Agnes of Rome,http://www.wikidata.org/entity/Q2273,https://www.wikidata.org/wiki/Q210096,needs review: CC BY-SA 2.0
st-albert-the-great,St. Albert the Great,Albertus Magnus,label,Q60059,St. Andreas Church,50.941869,6.954911,Dominican Order,,http://commons.wikimedia.org/wiki/Special:FilePath/Tommaso%20da%20modena%2C%20ritratti%20di%20domenicani%20%28vescovo%29%201352%20150cm%2C%20treviso%2C%20ex%20convento%20di%20san%20niccol%C3%B2%2C%20sala%20del%20capitolo.jpg,Albertus Magnus,http://www.wikidata.org/entity/Q2982,https://www.wikidata.org/wiki/Q60059,public domain
st-aloysius-gonzaga,St. Aloysius Gonzaga,Aloysius Gonzaga,label,Q310307,Altar of Saint Aloysius Gonzaga,,,Society of Jesus,,http://commons.wikimedia.org/wiki/Special:FilePath/Collection%20Motais%20de%20Narbonne%20-%20Saint%20Louis%20de%20Gonzague%20adorant%20le%20crucifix%20-%20Mazzanti.jpg,Aloisio Gonzaga,http://www.wikidata.org/entity/Q2671,https://www.wikidata.org/wiki/Q310307,public domain
st-alphonsus-liguori,St. Alphonsus Liguori,Alphonsus Maria de Liguori,label,Q273334,Salerno,40.680555555,14.759444444,Congregation of the Most Holy Redeemer,,http://commons.wikimedia.org/wiki/Special:FilePath/Liguori.jpg,Alphonsus Liguori,http://www.wikidata.org/entity/Q2788,https://www.wikidata.org/wiki/Q273334,needs review: CC BY-SA 3.0
st-ambrose,St. Ambrose,Ambrose,label,Q43689,Basilica of Sant'Ambrogio,45.4625,9.175833333,,beekeeper,http://commons.wikimedia.org/wiki/Special:FilePath/AmbroseOfMilan.jpg,Saint Ambrose,http://www.wikidata.org/entity/Q2455,https://www.wikidata.org/wiki/Q43689,public domain
